Day,Date,Cases,Recovered,Deaths,Tests,Active,Vaccine
1.0,1/29/2020,4.0,0.0,0.0,75.0,4.0,0.0
2.0,2/1/2020,1.0,0.0,0.0,183.0,5.0,0.0
3.0,2/8/2020,2.0,0.0,0.0,574.0,7.0,0.0
4.0,2/9/2020,0.0,1.0,0.0,1360.0,6.0,0.0
5.0,2/10/2020,1.0,0.0,0.0,437.0,7.0,0.0
6.0,2/14/2020,0.0,2.0,0.0,306.0,5.0,0.0
7.0,2/16/2020,1.0,0.0,0.0,2107.0,6.0,0.0
8.0,2/18/2020,0.0,0.0,0.0,1651.0,6.0,0.0
9.0,2/21/2020,2.0,0.0,0.0,2201.0,8.0,0.0
10.0,2/22/2020,2.0,0.0,0.0,4096.0,10.0,0.0
11.0,2/27/2020,6.0,2.0,0.0,1325.0,14.0,0.0
12.0,2/28/2020,2.0,0.0,0.0,8606.0,16.0,0.0
13.0,3/3/2020,6.0,0.0,0.0,2113.0,22.0,0.0
14.0,3/4/2020,2.0,0.0,0.0,12724.0,24.0,0.0
15.0,3/6/2020,1.0,0.0,0.0,10753.0,25.0,0.0
16.0,3/7/2020,15.0,2.0,0.0,4480.0,38.0,0.0
17.0,3/9/2020,14.0,5.0,0.0,6949.0,47.0,0.0
18.0,3/10/2020,15.0,5.0,0.0,3618.0,57.0,0.0
19.0,3/12/2020,11.0,3.0,0.0,9973.0,65.0,0.0
20.0,3/14/2020,1.0,3.0,0.0,10040.0,63.0,0.0
21.0,3/15/2020,12.0,3.0,0.0,6616.0,72.0,0.0
22.0,3/17/2020,15.0,0.0,0.0,10525.0,87.0,0.0
23.0,3/19/2020,27.0,5.0,0.0,13857.0,109.0,0.0
24.0,3/21/2020,13.0,7.0,2.0,12706.0,113.0,0.0
25.0,3/23/2020,45.0,3.0,0.0,16748.0,155.0,0.0
26.0,3/24/2020,50.0,4.0,0.0,9093.0,201.0,0.0
27.0,3/25/2020,85.0,7.0,0.0,9536.0,279.0,0.0
28.0,3/27/2020,72.0,3.0,0.0,18882.0,348.0,0.0
29.0,3/28/2020,63.0,0.0,0.0,8216.0,411.0,0.0
30.0,3/29/2020,102.0,3.0,1.0,9098.0,509.0,0.0
31.0,3/30/2020,41.0,3.0,2.0,7694.0,545.0,0.0
32.0,3/31/2020,53.0,0.0,1.0,13458.0,597.0,0.0
33.0,4/1/2020,150.0,0.0,2.0,20480.0,745.0,0.0
34.0,4/2/2020,210.0,35.0,0.0,22433.0,920.0,0.0
35.0,4/3/2020,240.0,12.0,1.0,31402.0,1147.0,0.0
36.0,4/4/2020,241.0,17.0,1.0,39950.0,1370.0,0.0
37.0,4/5/2020,278.0,18.0,0.0,58348.0,1630.0,0.0
38.0,4/6/2020,262.0,22.0,1.0,39870.0,1869.0,0.0
39.0,4/7/2020,268.0,18.0,1.0,58294.0,2118.0,0.0
40.0,4/8/2020,284.0,51.0,0.0,48418.0,2351.0,0.0
41.0,4/9/2020,313.0,28.0,2.0,40000.0,2634.0,0.0
42.0,4/10/2020,350.0,143.0,2.0,49000.0,2839.0,0.0
43.0,4/11/2020,356.0,162.0,4.0,20000.0,3029.0,0.0
44.0,4/12/2020,366.0,88.0,2.0,22000.0,3305.0,0.0
45.0,4/13/2020,377.0,164.0,3.0,23380.0,3515.0,0.0
46.0,4/14/2020,390.0,77.0,3.0,32000.0,3825.0,0.0
47.0,4/15/2020,409.0,96.0,5.0,41425.0,4133.0,0.0
48.0,4/16/2020,435.0,58.0,2.0,25000.0,4508.0,0.0
49.0,4/17/2020,452.0,89.0,2.0,24000.0,4869.0,0.0
50.0,4/18/2020,445.0,82.0,0.0,21806.0,5232.0,0.0
51.0,4/19/2020,453.0,93.0,4.0,25795.0,5588.0,0.0
52.0,4/20/2020,458.0,71.0,2.0,22807.0,5973.0,0.0
53.0,4/21/2020,464.0,79.0,3.0,20165.0,6355.0,0.0
54.0,4/22/2020,457.0,98.0,6.0,23053.0,6708.0,0.0
55.0,4/23/2020,490.0,87.0,4.0,25506.0,7107.0,0.0
56.0,4/24/2020,497.0,117.0,8.0,26274.0,7479.0,0.0
57.0,4/25/2020,504.0,121.0,7.0,21984.0,7855.0,0.0
58.0,4/26/2020,536.0,91.0,5.0,25086.0,8295.0,0.0
59.0,4/27/2020,490.0,112.0,6.0,26195.0,8667.0,0.0
60.0,4/28/2020,541.0,91.0,7.0,27905.0,9110.0,0.0
61.0,4/29/2020,549.0,148.0,9.0,26524.0,9502.0,0.0
62.0,4/30/2020,552.0,100.0,7.0,36266.0,9947.0,0.0
63.0,5/1/2020,557.0,114.0,6.0,26677.0,10384.0,0.0
64.0,5/2/2020,561.0,121.0,8.0,18428.0,10816.0,0.0
65.0,5/3/2020,564.0,99.0,7.0,28039.0,11274.0,0.0
66.0,5/4/2020,567.0,203.0,11.0,25231.0,11627.0,0.0
67.0,5/5/2020,462.0,187.0,9.0,33994.0,11893.0,0.0
68.0,5/6/2020,546.0,206.0,11.0,41134.0,12222.0,0.0
69.0,5/7/2020,502.0,213.0,8.0,33153.0,12503.0,0.0
70.0,5/8/2020,553.0,265.0,9.0,29866.0,12782.0,0.0
71.0,5/9/2020,624.0,458.0,11.0,26763.0,12937.0,0.0
72.0,5/10/2020,781.0,509.0,13.0,32597.0,13196.0,0.0
73.0,5/11/2020,680.0,577.0,3.0,34869.0,13296.0,0.0
74.0,5/12/2020,783.0,631.0,2.0,37112.0,13446.0,0.0
75.0,5/13/2020,725.0,511.0,3.0,38477.0,13657.0,0.0
76.0,5/14/2020,698.0,407.0,2.0,35735.0,13946.0,0.0
77.0,5/15/2020,747.0,398.0,2.0,40720.0,14293.0,0.0
78.0,5/16/2020,796.0,603.0,4.0,37844.0,14482.0,0.0
79.0,5/17/2020,731.0,581.0,6.0,38904.0,14626.0,0.0
80.0,5/18/2020,832.0,1065.0,4.0,43732.0,14389.0,0.0
81.0,5/19/2020,873.0,1214.0,3.0,43993.0,14045.0,0.0
82.0,5/20/2020,941.0,1018.0,6.0,50377.0,13962.0,0.0
83.0,5/21/2020,894.0,946.0,4.0,39791.0,13906.0,0.0
84.0,5/22/2020,994.0,1043.0,4.0,35686.0,13853.0,0.0
85.0,5/23/2020,812.0,697.0,3.0,41202.0,13965.0,0.0
86.0,5/24/2020,781.0,561.0,1.0,28282.0,14184.0,0.0
87.0,5/25/2020,822.0,601.0,3.0,27540.0,14402.0,0.0
88.0,5/26/2020,779.0,325.0,5.0,38628.0,14851.0,0.0
89.0,5/27/2020,883.0,389.0,2.0,36131.0,15343.0,0.0
90.0,5/28/2020,563.0,314.0,3.0,42624.0,15589.0,0.0
91.0,5/29/2020,638.0,412.0,2.0,37153.0,15813.0,0.0
92.0,5/30/2020,726.0,449.0,2.0,30147.0,16088.0,0.0
