Day,Date,Cases,Recovered,Deaths,Tests,Active,Vaccine
1,1/29/2020,4,0,0,75,4,0
2,2/1/2020,1,0,0,183,5,0
3,2/8/2020,2,0,0,574,7,0
4,2/9/2020,0,1,0,1360,6,0
5,2/10/2020,1,0,0,437,7,0
6,2/14/2020,0,2,0,306,5,0
7,2/16/2020,1,0,0,2107,6,0
8,2/18/2020,0,0,0,1651,6,0
9,2/21/2020,2,0,0,2201,8,0
10,2/22/2020,2,0,0,4096,10,0
11,2/27/2020,6,2,0,1325,14,0
12,2/28/2020,2,0,0,8606,16,0
13,3/3/2020,6,0,0,2113,22,0
14,3/4/2020,2,0,0,12724,24,0
15,3/6/2020,1,0,0,10753,25,0
16,3/7/2020,15,2,0,4480,38,0
17,3/9/2020,14,5,0,6949,47,0
18,3/10/2020,15,5,0,3618,57,0
19,3/12/2020,11,3,0,9973,65,0
20,3/14/2020,1,3,0,10040,63,0
21,3/15/2020,12,3,0,6616,72,0
22,3/17/2020,15,0,0,10525,87,0
23,3/19/2020,27,5,0,13857,109,0
24,3/21/2020,13,7,2,12706,113,0
25,3/23/2020,45,3,0,16748,155,0
26,3/24/2020,50,4,0,9093,201,0
27,3/25/2020,85,7,0,9536,279,0
28,3/27/2020,72,3,0,18882,348,0
29,3/28/2020,63,0,0,8216,411,0
30,3/29/2020,102,3,1,9098,509,0
31,3/30/2020,41,3,2,7694,545,0
32,3/31/2020,53,0,1,13458,597,0
33,4/1/2020,150,0,2,20480,745,0
34,4/2/2020,210,35,0,22433,920,0
35,4/3/2020,240,12,1,31402,1147,0
36,4/4/2020,241,17,1,39950,1370,0
37,4/5/2020,278,18,0,58348,1630,0
38,4/6/2020,262,22,1,39870,1869,0
39,4/7/2020,268,18,1,58294,2118,0
40,4/8/2020,284,51,0,48418,2351,0
41,4/9/2020,313,28,2,40000,2634,0
42,4/10/2020,350,143,2,49000,2839,0
43,4/11/2020,356,162,4,20000,3029,0
44,4/12/2020,366,88,2,22000,3305,0
45,4/13/2020,377,164,3,23380,3515,0
46,4/14/2020,390,77,3,32000,3825,0
47,4/15/2020,409,96,5,41425,4133,0
48,4/16/2020,435,58,2,25000,4508,0
